Name,INN,City,Region,Address,Website,Email,Category,OKVED
ООО Травелата,7701200000,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 1",travelata.ru,info@travelata.ru,Туризм,79.11
ООО Level.Travel,7701200001,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 2",level.travel,info@level.travel,Туризм,79.11
ООО Onetwotrip,7701200002,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 3",onetwotrip.com,info@onetwotrip.com,Туризм,79.11
ООО Туту.ру,7701200003,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 4",tutu.ru,info@tutu.ru,Туризм,79.11
ООО Аэроэкспресс,7701200004,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 5",aeroexpress.ru,info@aeroexpress.ru,Туризм,79.11
ООО Библио-Глобус,7701200005,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 6",biblioglobus.ru,info@biblioglobus.ru,Туризм,79.11
ООО Пегас Туристик,7701200006,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 7",pegast.ru,info@pegast.ru,Туризм,79.11
ООО Тез Тур,7701200007,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 8",teztour.ru,info@teztour.ru,Туризм,79.11
ООО Анекс Тур,7701200008,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 9",anextour.ru,info@anextour.ru,Туризм,79.11
ООО Корал Тревел,7701200009,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 10",coral.ru,info@coral.ru,Туризм,79.11
ООО Русский Экспресс,7701200010,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 11",russiangid.ru,info@russiangid.ru,Туризм,79.11
ООО Натали Турс,7701200011,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 12",natali-tours.ru,info@natali-tours.ru,Туризм,79.11
ООО Sunmar,7701200012,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 13",sunmar.ru,info@sunmar.ru,Туризм,79.11
ООО TUI,7701200013,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 14",tui.ru,info@tui.ru,Туризм,79.11
ООО Intourist,7701200014,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 15",intourist.ru,info@intourist.ru,Туризм,79.11
ООО Туристическое агентство Барнаул,7800020013,Барнаул,Россия,"г Барнаул, ул Центральная, 14",https://tour-барнаул.ru,info@барнаул-tour.ru,Туристическое агентство,79.11
ООО Управленческий консалтинг Барнаул,8000020028,Барнаул,Россия,"г Барнаул, ул Коммерческая, 29",https://mgmt-барнаул.ru,mgmt@барнаул-mgmt.ru,Управленческий консалтинг,70.22
ООО Финансовый консультант Барнаул,8000020026,Барнаул,Россия,"г Барнаул, ул Коммерческая, 27",https://finance-барнаул.ru,fin@барнаул-fin.ru,Финансовый консультант,66.12
ООО World Class,7701200000,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 1",worldclass.ru,info@worldclass.ru,Фитнес,93.11
ООО Фитнес Холдинг,7701200001,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 2",fitnessholding.ru,info@fitnessholding.ru,Фитнес,93.11
ООО Alex Fitness,7701200002,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 3",alexfitness.ru,info@alexfitness.ru,Фитнес,93.11
ООО Спортмастер,7701200003,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 4",sportmaster.ru,info@sportmaster.ru,Фитнес,93.11
ООО Триал-Спорт,7701200004,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 5",trial-sport.ru,info@trial-sport.ru,Фитнес,93.11
ООО Декатлон,7701200005,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 6",decathlon.ru,info@decathlon.ru,Фитнес,93.11
ООО X-Fit,7701200006,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 7",xfit.ru,info@xfit.ru,Фитнес,93.11
ООО Зебра,7701200007,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 8",zebraclub.ru,info@zebraclub.ru,Фитнес,93.11
ООО Планета Фитнес,7701200008,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 9",planetafitness.ru,info@planetafitness.ru,Фитнес,93.11
ООО FitCurves,7701200009,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 10",fitcurves.ru,info@fitcurves.ru,Фитнес,93.11
ООО Lady's Gym,7701200010,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 11",ladiesgym.ru,info@ladiesgym.ru,Фитнес,93.11
ООО Terrasport,7701200011,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 12",terrasport.ua,info@terrasport.ru,Фитнес,93.11
ООО Gymnasium,7701200012,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 13",gymnasium.ru,info@gymnasium.ru,Фитнес,93.11
ООО Atletica,7701200013,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 14",atletica.ru,info@atletica.ru,Фитнес,93.11
ООО Sport Life,7701200014,Барнаул,Алтайский край,"г Барнаул, ул Примерная, 15",sportlife.ru,info@sportlife.ru,Фитнес,93.11
ООО Фитнес-клуб Барнаул,8000020038,Барнаул,Россия,"г Барнаул, ул Коммерческая, 39",https://fitness-барнаул.ru,fitness@барнаул-fit.ru,Фитнес-клуб,93.11
ООО Фотоателье Барнаул,7800020011,Барнаул,Россия,"г Барнаул, ул Центральная, 12",https://photo-барнаул.ru,info@барнаул-photo.ru,Фотоателье,74.20
ООО Фотограф Барнаул,8000020014,Барнаул,Россия,"г Барнаул, ул Коммерческая, 15",https://photo-барнаул.ru,photo@барнаул-photo.ru,Фотограф,74.20
ООО Хлебозавод Барнаул,7900020002,Барнаул,Россия,"г Барнаул, ул Промышленная, 3",https://bread-барнаул.ru,sale@барнаул-bread.ru,Хлебозавод,10.71
ООО Цветочный магазин Барнаул,7800020016,Барнаул,Россия,"г Барнаул, ул Центральная, 17",https://flowers-барнаул.ru,info@барнаул-flowers.ru,Цветочный магазин,47.76
ООО Швейная фабрика Барнаул,7900020004,Барнаул,Россия,"г Барнаул, ул Промышленная, 5",https://sewing-барнаул.ru,order@барнаул-sew.ru,Швейная фабрика,14.12
ООО Шкафы-купе Барнаул,7800020028,Барнаул,Россия,"г Барнаул, ул Центральная, 29",https://wardrobes-барнаул.ru,info@барнаул-wardrobe.ru,Шкафы-купе,31.01
ООО Электрика Барнаул,7800020024,Барнаул,Россия,"г Барнаул, ул Центральная, 25",https://electric-барнаул.ru,info@барнаул-electric.ru,Электрика,47.52
ООО Юридические услуги Барнаул,7800020006,Барнаул,Россия,"г Барнаул, ул Центральная, 7",https://law-барнаул.ru,info@барнаул-law.ru,Юридические услуги,69.10
ООО 1С-разработка Владивосток,8000025007,Владивосток,Россия,"г Владивосток, ул Коммерческая, 8",https://1c-владивосток.ru,1c@владивосток-1c.ru,1С-разработка,62.01
ООО CRM-внедрение Владивосток,8000025009,Владивосток,Россия,"г Владивосток, ул Коммерческая, 10",https://crm-владивосток.ru,crm@владивосток-crm.ru,CRM-внедрение,62.01
ООО DJ Владивосток,8000025018,Владивосток,Россия,"г Владивосток, ул Коммерческая, 19",https://dj-владивосток.ru,dj@владивосток-dj.ru,DJ,90.01
ООО Digital-агентство Владивосток,8000025001,Владивосток,Россия,"г Владивосток, ул Коммерческая, 2",https://digital-владивосток.ru,start@владивосток-dig.ru,Digital-агентство,73.11
ООО Event-агентство Владивосток,8000025010,Владивосток,Россия,"г Владивосток, ул Коммерческая, 11",https://event-владивосток.ru,event@владивосток-evt.ru,Event-агентство,82.30
ООО HR-консалтинг Владивосток,8000025024,Владивосток,Россия,"г Владивосток, ул Коммерческая, 25",https://hr-владивосток.ru,hr@владивосток-hr.ru,HR-консалтинг,78.10
ООО IT-аутсорсинг Владивосток,7800025007,Владивосток,Россия,"г Владивосток, ул Центральная, 8",https://it-владивосток.ru,info@владивосток-it.ru,IT-аутсорсинг,62.01
ООО IT-консалтинг Владивосток,8000025029,Владивосток,Россия,"г Владивосток, ул Коммерческая, 30",https://itcon-владивосток.ru,itcon@владивосток-itc.ru,IT-консалтинг,62.02
ООО SEO-студия Владивосток,8000025002,Владивосток,Россия,"г Владивосток, ул Коммерческая, 3",https://seo-владивосток.ru,seo@владивосток-seo.ru,SEO-студия,73.11
ООО SMM-агентство Владивосток,8000025003,Владивосток,Россия,"г Владивосток, ул Коммерческая, 4",https://smm-владивосток.ru,smm@владивосток-smm.ru,SMM-агентство,73.11
ООО SPA-салон Владивосток,8000025031,Владивосток,Россия,"г Владивосток, ул Коммерческая, 32",https://spa-владивосток.ru,spa@владивосток-spa.ru,SPA-салон,96.02
ООО Мajor Auto,7701250000,Владивосток,Приморский край,"г Владивосток, ул Примерная, 1",major-auto.ru,info@major-auto.ru,Автодилеры,45.11
ООО Автомир,7701250001,Владивосток,Приморский край,"г Владивосток, ул Примерная, 2",avtomir.ru,info@avtomir.ru,Автодилеры,45.11
ООО Авилон,7701250002,Владивосток,Приморский край,"г Владивосток, ул Примерная, 3",avilon.ru,info@avilon.ru,Автодилеры,45.11
ООО Рольф,7701250003,Владивосток,Приморский край,"г Владивосток, ул Примерная, 4",rolf.ru,info@rolf.ru,Автодилеры,45.11
ООО Независимость,7701250004,Владивосток,Приморский край,"г Владивосток, ул Примерная, 5",independence.ru,info@independence.ru,Автодилеры,45.11
ООО Автоспеццентр,7701250005,Владивосток,Приморский край,"г Владивосток, ул Примерная, 6",autosc.ru,info@autosc.ru,Автодилеры,45.11
ООО Восток Моторс,7701250006,Владивосток,Приморский край,"г Владивосток, ул Примерная, 7",vostok-motors.ru,info@vostok-motors.ru,Автодилеры,45.11
ООО АвтоГЕРМЕС,7701250007,Владивосток,Приморский край,"г Владивосток, ул Примерная, 8",autohermes.ru,info@autohermes.ru,Автодилеры,45.11
ООО Максимум,7701250008,Владивосток,Приморский край,"г Владивосток, ул Примерная, 9",maximum-motors.ru,info@maximum-motors.ru,Автодилеры,45.11
ООО АвтоВладение,7701250009,Владивосток,Приморский край,"г Владивосток, ул Примерная, 10",autovl.ru,info@autovl.ru,Автодилеры,45.11
ООО Премьер Авто,7701250010,Владивосток,Приморский край,"г Владивосток, ул Примерная, 11",premierauto.ru,info@premierauto.ru,Автодилеры,45.11
ООО Тойота Центр,7701250011,Владивосток,Приморский край,"г Владивосток, ул Примерная, 12",toyota.ru,info@toyota.ru,Автодилеры,45.11
ООО БМВ Русланд,7701250012,Владивосток,Приморский край,"г Владивосток, ул Примерная, 13",bmw.ru,info@bmw.ru,Автодилеры,45.11
ООО Мерседес-Бенц,7701250013,Владивосток,Приморский край,"г Владивосток, ул Примерная, 14",mercedes-benz.ru,info@mercedes-benz.ru,Автодилеры,45.11
ООО Ауди Рус,7701250014,Владивосток,Приморский край,"г Владивосток, ул Примерная, 15",audi.ru,info@audi.ru,Автодилеры,45.11
ООО Автоматизация бизнеса Владивосток,8000025008,Владивосток,Россия,"г Владивосток, ул Коммерческая, 9",https://auto-владивосток.ru,auto@владивосток-auto.ru,Автоматизация бизнеса,62.01
ООО Автосервис Владивосток,7800025002,Владивосток,Россия,"г Владивосток, ул Центральная, 3",https://autoservice-владивосток.ru,info@владивосток-auto.ru,Автосервис,45.20
ООО Алкоголь оптом Владивосток,7900025026,Владивосток,Россия,"г Владивосток, ул Промышленная, 27",https://alco-владивосток.ru,alco@владивосток-alco.ru,Алкоголь оптом,46.34
ООО Аптека Владивосток,7800025003,Владивосток,Россия,"г Владивосток, ул Центральная, 4",https://pharmacy-владивосток.ru,info@владивосток-pharmacy.ru,Аптека,47.73
ООО Аренда авто Владивосток,7800025014,Владивосток,Россия,"г Владивосток, ул Центральная, 15",https://rentcar-владивосток.ru,info@владивосток-rentcar.ru,Аренда авто,77.11
ООО Аттестация рабочих мест Владивосток,7900025015,Владивосток,Россия,"г Владивосток, ул Промышленная, 16",https://attest-владивосток.ru,attest@владивосток-att.ru,Аттестация рабочих мест,71.12
ООО Бассейн Владивосток,8000025039,Владивосток,Россия,"г Владивосток, ул Коммерческая, 40",https://pool-владивосток.ru,pool@владивосток-pool.ru,Бассейн,93.11
ООО Бетонный завод Владивосток,7900025009,Владивосток,Россия,"г Владивосток, ул Промышленная, 10",https://beton-владивосток.ru,beton@владивосток-bet.ru,Бетонный завод,23.51
ООО Бизнес-консультант Владивосток,8000025025,Владивосток,Россия,"г Владивосток, ул Коммерческая, 26",https://consult-владивосток.ru,consult@владивосток-consult.ru,Бизнес-консультант,70.22
ООО Бизнес-тренер Владивосток,8000025020,Владивосток,Россия,"г Владивосток, ул Коммерческая, 21",https://coach-владивосток.ru,coach@владивосток-coach.ru,Бизнес-тренер,85.59
ООО Бухгалтерия Владивосток,7800025005,Владивосток,Россия,"г Владивосток, ул Центральная, 6",https://accounting-владивосток.ru,info@владивосток-buh.ru,Бухгалтерия,69.20
ООО Бытовая химия оптом Владивосток,7900025027,Владивосток,Россия,"г Владивосток, ул Промышленная, 28",https://chemical-владивосток.ru,him@владивосток-him.ru,Бытовая химия оптом,46.44
ООО Веб-студия Владивосток,8000025000,Владивосток,Россия,"г Владивосток, ул Коммерческая, 1",https://webstudio-владивосток.ru,hello@владивосток-web.ru,Веб-студия,62.01
ООО Ведущий мероприятий Владивосток,8000025016,Владивосток,Россия,"г Владивосток, ул Коммерческая, 17",https://host-владивосток.ru,host@владивосток-host.ru,Ведущий мероприятий,90.01
ООО Видеонаблюдение Владивосток,7900025012,Владивосток,Россия,"г Владивосток, ул Промышленная, 13",https://cctv-владивосток.ru,cctv@владивосток-cam.ru,Видеонаблюдение,43.21
ООО Видеооператор Владивосток,8000025015,Владивосток,Россия,"г Владивосток, ул Коммерческая, 16",https://video-владивосток.ru,video@владивосток-video.ru,Видеооператор,59.11
ООО Двери Владивосток,7800025022,Владивосток,Россия,"г Владивосток, ул Центральная, 23",https://doors-владивосток.ru,info@владивосток-doors.ru,Двери,47.52
ООО Диетолог Владивосток,8000025036,Владивосток,Россия,"г Владивосток, ул Коммерческая, 37",https://diet-владивосток.ru,diet@владивосток-diet.ru,Диетолог,86.90
ООО Зоомагазин Владивосток,7800025017,Владивосток,Россия,"г Владивосток, ул Центральная, 18",https://petshop-владивосток.ru,info@владивосток-pet.ru,Зоомагазин,47.76
ООО Игрушки оптом Владивосток,7900025023,Владивосток,Россия,"г Владивосток, ул Промышленная, 24",https://toys-владивосток.ru,toys@владивосток-toy.ru,Игрушки оптом,46.49
ООО Йога-студия Владивосток,8000025037,Владивосток,Россия,"г Владивосток, ул Коммерческая, 38",https://yoga-владивосток.ru,yoga@владивосток-yoga.ru,Йога-студия,93.11
ООО Кавер-группа Владивосток,8000025017,Владивосток,Россия,"г Владивосток, ул Коммерческая, 18",https://cover-владивосток.ru,cover@владивосток-cover.ru,Кавер-группа,90.01
ООО Канцтовары оптом Владивосток,7900025024,Владивосток,Россия,"г Владивосток, ул Промышленная, 25",https://office-владивосток.ru,office@владивосток-off.ru,Канцтовары оптом,46.49
ООО Карьерный консультант Владивосток,8000025023,Владивосток,Россия,"г Владивосток, ул Коммерческая, 24",https://career-владивосток.ru,career@владивосток-career.ru,Карьерный консультант,78.10
ООО Кафе Владивосток,7800025000,Владивосток,Россия,"г Владивосток, ул Центральная, 1",https://cafe-владивосток.ru,info@владивосток-cafe.ru,Кафе,56.10
ООО Клининг Владивосток,7800025009,Владивосток,Россия,"г Владивосток, ул Центральная, 10",https://cleaning-владивосток.ru,info@владивосток-cleaning.ru,Клининг,81.22
ООО Книжный магазин Владивосток,7800025018,Владивосток,Россия,"г Владивосток, ул Центральная, 19",https://bookshop-владивосток.ru,info@владивосток-books.ru,Книжный магазин,47.61
ООО Ковры Владивосток,7800025025,Владивосток,Россия,"г Владивосток, ул Центральная, 26",https://carpets-владивосток.ru,info@владивосток-carpets.ru,Ковры,47.53
ООО Кондиционеры Владивосток,7800025029,Владивосток,Россия,"г Владивосток, ул Центральная, 30",https://ac-владивосток.ru,info@владивосток-ac.ru,Кондиционеры,43.22
ООО Контекстная реклама Владивосток,8000025004,Владивосток,Россия,"г Владивосток, ул Коммерческая, 5",https://ppc-владивосток.ru,ppc@владивосток-ppc.ru,Контекстная реклама,73.11
ООО Контроль доступа Владивосток,7900025013,Владивосток,Россия,"г Владивосток, ул Промышленная, 14",https://access-владивосток.ru,access@владивосток-acs.ru,Контроль доступа,43.21
ООО Корпоративное обучение Владивосток,8000025021,Владивосток,Россия,"г Владивосток, ул Коммерческая, 22",https://corp-владивосток.ru,corp@владивосток-corp.ru,Корпоративное обучение,85.59
ООО Косметология Владивосток,8000025034,Владивосток,Россия,"г Владивосток, ул Коммерческая, 35",https://cosmo-владивосток.ru,cosmo@владивосток-cos.ru,Косметология,96.02
ООО Коучинг Владивосток,8000025022,Владивосток,Россия,"г Владивосток, ул Коммерческая, 23",https://coaching-владивосток.ru,coaching@владивосток-coaching.ru,Коучинг,85.59
ООО Кровельные материалы Владивосток,7900025008,Владивосток,Россия,"г Владивосток, ул Промышленная, 9",https://roof-владивосток.ru,roof@владивосток-roof.ru,Кровельные материалы,23.99
ООО Курьерская доставка Владивосток,7800025010,Владивосток,Россия,"г Владивосток, ул Центральная, 11",https://delivery-владивосток.ru,info@владивосток-delivery.ru,Курьерская доставка,53.20
ООО Кухни Владивосток,7800025027,Владивосток,Россия,"г Владивосток, ул Центральная, 28",https://kitchens-владивосток.ru,info@владивосток-kitchen.ru,Кухни,31.01
ООО СДЭК,7701250000,Владивосток,Приморский край,"г Владивосток, ул Примерная, 1",cdek.ru,info@cdek.ru,Логистика,49.41
ООО Boxberry,7701250001,Владивосток,Приморский край,"г Владивосток, ул Примерная, 2",boxberry.ru,info@boxberry.ru,Логистика,49.41
ООО Почта России,7701250002,Владивосток,Приморский край,"г Владивосток, ул Примерная, 3",russianpost.ru,info@russianpost.ru,Логистика,49.41
ООО Major Express,7701250003,Владивосток,Приморский край,"г Владивосток, ул Примерная, 4",majorexpress.ru,info@majorexpress.ru,Логистика,49.41
ООО Байкал Сервис,7701250004,Владивосток,Приморский край,"г Владивосток, ул Примерная, 5",baikalservice.ru,info@baikalservice.ru,Логистика,49.41
ООО Деловые Линии,7701250005,Владивосток,Приморский край,"г Владивосток, ул Примерная, 6",dellin.ru,info@dellin.ru,Логистика,49.41
ООО ЖелДорЭкспедиция,7701250006,Владивосток,Приморский край,"г Владивосток, ул Примерная, 7",jde.ru,info@jde.ru,Логистика,49.41
ООО ПЭК,7701250007,Владивосток,Приморский край,"г Владивосток, ул Примерная, 8",pecom.ru,info@pecom.ru,Логистика,49.41
ООО Энергия,7701250008,Владивосток,Приморский край,"г Владивосток, ул Примерная, 9",nrg-tk.ru,info@nrg-tk.ru,Логистика,49.41
ООО КИТ,7701250009,Владивосток,Приморский край,"г Владивосток, ул Примерная, 10",tk-kit.ru,info@tk-kit.ru,Логистика,49.41
ООО Автотрейдинг,7701250010,Владивосток,Приморский край,"г Владивосток, ул Примерная, 11",avtotreyding.ru,info@avtotreyding.ru,Логистика,49.41
ООО ТЭК Основа,7701250011,Владивосток,Приморский край,"г Владивосток, ул Примерная, 12",tek-osnova.ru,info@tek-osnova.ru,Логистика,49.41
ООО Главдоставка,7701250012,Владивосток,Приморский край,"г Владивосток, ул Примерная, 13",glavdostavka.ru,info@glavdostavka.ru,Логистика,49.41
ООО СТЭК,7701250013,Владивосток,Приморский край,"г Владивосток, ул Примерная, 14",stek-tk.ru,info@stek-tk.ru,Логистика,49.41
ООО Интайм,7701250014,Владивосток,Приморский край,"г Владивосток, ул Примерная, 15",intime.ru,info@intime.ru,Логистика,49.41
ООО Массажный салон Владивосток,8000025030,Владивосток,Россия,"г Владивосток, ул Коммерческая, 31",https://massage-владивосток.ru,massage@владивосток-mass.ru,Массажный салон,96.04
ООО Мебельный салон Владивосток,7800025019,Владивосток,Россия,"г Владивосток, ул Центральная, 20",https://furniture-владивосток.ru,info@владивосток-furniture.ru,Мебельный салон,47.59
ООО СМ-Клиника,7701250000,Владивосток,Приморский край,"г Владивосток, ул Примерная, 1",sm-clinic.ru,info@sm-clinic.ru,Медицина,86.10
ООО Медси,7701250001,Владивосток,Приморский край,"г Владивосток, ул Примерная, 2",medsi.ru,info@medsi.ru,Медицина,86.10
ООО ЕМЦ,7701250002,Владивосток,Приморский край,"г Владивосток, ул Примерная, 3",emcmos.ru,info@emcmos.ru,Медицина,86.10
ООО Семейный доктор,7701250003,Владивосток,Приморский край,"г Владивосток, ул Примерная, 4",semdoc.ru,info@semdoc.ru,Медицина,86.10
ООО Доктор рядом,7701250004,Владивосток,Приморский край,"г Владивосток, ул Примерная, 5",doctorrf.ru,info@doctorrf.ru,Медицина,86.10
ООО Клиника Маршака,7701250005,Владивосток,Приморский край,"г Владивосток, ул Примерная, 6",marshak-clinic.ru,info@marshak-clinic.ru,Медицина,86.10
ООО Альфа-Центр Здоровья,7701250006,Владивосток,Приморский край,"г Владивосток, ул Примерная, 7",alpha-health.ru,info@alpha-health.ru,Медицина,86.10
ООО Скандинавия,7701250007,Владивосток,Приморский край,"г Владивосток, ул Примерная, 8",scandclinic.ru,info@scandclinic.ru,Медицина,86.10
ООО Мать и дитя,7701250008,Владивосток,Приморский край,"г Владивосток, ул Примерная, 9",mdclinic.ru,info@mdclinic.ru,Медицина,86.10
ООО Клиника Врачебная практика,7701250009,Владивосток,Приморский край,"г Владивосток, ул Примерная, 10",med-practica.ru,info@med-practica.ru,Медицина,86.10
ООО Гемотест,7701250010,Владивосток,Приморский край,"г Владивосток, ул Примерная, 11",gemotest.ru,info@gemotest.ru,Медицина,86.10
ООО Инвитро,7701250011,Владивосток,Приморский край,"г Владивосток, ул Примерная, 12",invitro.ru,info@invitro.ru,Медицина,86.10
ООО CMD,7701250012,Владивосток,Приморский край,"г Владивосток, ул Примерная, 13",cmdlab.ru,info@cmdlab.ru,Медицина,86.10
ООО Labquest,7701250013,Владивосток,Приморский край,"г Владивосток, ул Примерная, 14",labquest.ru,info@labquest.ru,Медицина,86.10
ООО ДНКОМ,7701250014,Владивосток,Приморский край,"г Владивосток, ул Примерная, 15",dnkom.ru,info@dnkom.ru,Медицина,86.10
ООО Металлообработка Владивосток,7900025006,Владивосток,Россия,"г Владивосток, ул Промышленная, 7",https://metal-владивосток.ru,metal@владивосток-met.ru,Металлообработка,25.50
ООО Металлопрокат Владивосток,7900025029,Владивосток,Россия,"г Владивосток, ул Промышленная, 30",https://metaltrade-владивосток.ru,metal@владивосток-mtl.ru,Металлопрокат,46.72
ООО Мобильная разработка Владивосток,8000025006,Владивосток,Россия,"г Владивосток, ул Коммерческая, 7",https://mobile-владивосток.ru,app@владивосток-app.ru,Мобильная разработка,62.01
ООО Молокозавод Владивосток,7900025003,Владивосток,Россия,"г Владивосток, ул Промышленная, 4",https://milk-владивосток.ru,info@владивосток-milk.ru,Молокозавод,10.51
ООО Мясокомбинат Владивосток,7900025001,Владивосток,Россия,"г Владивосток, ул Промышленная, 2",https://meat-владивосток.ru,office@владивосток-meat.ru,Мясокомбинат,10.11
ООО Налоговый консультант Владивосток,8000025027,Владивосток,Россия,"г Владивосток, ул Коммерческая, 28",https://tax-владивосток.ru,tax@владивосток-tax.ru,Налоговый консультант,69.20
ООО МИЦ,7701250000,Владивосток,Приморский край,"г Владивосток, ул Примерная, 1",mic.ru,info@mic.ru,Недвижимость,68.20
ООО БЕСТ-Недвижимость,7701250001,Владивосток,Приморский край,"г Владивосток, ул Примерная, 2",best.ru,info@best.ru,Недвижимость,68.20
ООО Inkom-Недвижимость,7701250002,Владивосток,Приморский край,"г Владивосток, ул Примерная, 3",inkom.ru,info@inkom.ru,Недвижимость,68.20
ООО Этажи,7701250003,Владивосток,Приморский край,"г Владивосток, ул Примерная, 4",etagi.ru,info@etagi.ru,Недвижимость,68.20
ООО Азбука Жилья,7701250004,Владивосток,Приморский край,"г Владивосток, ул Примерная, 5",azbuka.ru,info@azbuka.ru,Недвижимость,68.20
ООО Миэль,7701250005,Владивосток,Приморский край,"г Владивосток, ул Примерная, 6",miel.ru,info@miel.ru,Недвижимость,68.20
ООО НДВ-Недвижимость,7701250006,Владивосток,Приморский край,"г Владивосток, ул Примерная, 7",ndv.ru,info@ndv.ru,Недвижимость,68.20
ООО Квартирный вопрос,7701250007,Владивосток,Приморский край,"г Владивосток, ул Примерная, 8",kvartira.ru,info@kvartira.ru,Недвижимость,68.20
ООО Петербургская Недвижимость,7701250008,Владивосток,Приморский край,"г Владивосток, ул Примерная, 9",spbrealty.ru,info@spbrealty.ru,Недвижимость,68.20
ООО Верхоленд,7701250009,Владивосток,Приморский край,"г Владивосток, ул Примерная, 10",verholend.ru,info@verholend.ru,Недвижимость,68.20
ООО Максима,7701250010,Владивосток,Приморский край,"г Владивосток, ул Примерная, 11",maxima.ru,info@maxima.ru,Недвижимость,68.20
ООО Территория,7701250011,Владивосток,Приморский край,"г Владивосток, ул Примерная, 12",territoria.ru,info@territoria.ru,Недвижимость,68.20
ООО Консул,7701250012,Владивосток,Приморский край,"г Владивосток, ул Примерная, 13",consul.ru,info@consul.ru,Недвижимость,68.20
ООО Владис,7701250013,Владивосток,Приморский край,"г Владивосток, ул Примерная, 14",vladis.ru,info@vladis.ru,Недвижимость,68.20
ООО Нева-Недвижимость,7701250014,Владивосток,Приморский край,"г Владивосток, ул Примерная, 15",nevarealty.ru,info@nevarealty.ru,Недвижимость,68.20
ООО Независимая экспертиза Владивосток,7900025017,Владивосток,Россия,"г Владивосток, ул Промышленная, 18",https://expert-владивосток.ru,expert@владивосток-exp.ru,Независимая экспертиза,71.12
ООО Фоксфорд,7701250000,Владивосток,Приморский край,"г Владивосток, ул Примерная, 1",foxford.ru,info@foxford.ru,Образование,85.41
ООО Учи.ру,7701250001,Владивосток,Приморский край,"г Владивосток, ул Примерная, 2",uchi.ru,info@uchi.ru,Образование,85.41
ООО ЯКласс,7701250002,Владивосток,Приморский край,"г Владивосток, ул Примерная, 3",yaklass.ru,info@yaklass.ru,Образование,85.41
ООО SkillFactory,7701250003,Владивосток,Приморский край,"г Владивосток, ул Примерная, 4",skillfactory.ru,info@skillfactory.ru,Образование,85.41
ООО GeekBrains,7701250004,Владивосток,Приморский край,"г Владивосток, ул Примерная, 5",geekbrains.ru,info@geekbrains.ru,Образование,85.41
ООО Skillbox,7701250005,Владивосток,Приморский край,"г Владивосток, ул Примерная, 6",skillbox.ru,info@skillbox.ru,Образование,85.41
ООО Нетология,7701250006,Владивосток,Приморский край,"г Владивосток, ул Примерная, 7",netology.ru,info@netology.ru,Образование,85.41
ООО ProductStar,7701250007,Владивосток,Приморский край,"г Владивосток, ул Примерная, 8",productstar.ru,info@productstar.ru,Образование,85.41
ООО Нетология-Групп,7701250008,Владивосток,Приморский край,"г Владивосток, ул Примерная, 9",netology-group.ru,info@netology-group.ru,Образование,85.41
ООО Skyeng,7701250009,Владивосток,Приморский край,"г Владивосток, ул Примерная, 10",skyeng.ru,info@skyeng.ru,Образование,85.41
ООО LinguaLeo,7701250010,Владивосток,Приморский край,"г Владивосток, ул Примерная, 11",lingualeo.ru,info@lingualeo.ru,Образование,85.41
ООО Поколение,7701250011,Владивосток,Приморский край,"г Владивосток, ул Примерная, 12",pokolenie.ru,info@pokolenie.ru,Образование,85.41
ООО Тетрадка,7701250012,Владивосток,Приморский край,"г Владивосток, ул Примерная, 13",tetradka.ru,info@tetradka.ru,Образование,85.41
ООО MAXIMUM,7701250013,Владивосток,Приморский край,"г Владивосток, ул Примерная, 14",maximum.ru,info@maximum.ru,Образование,85.41
ООО Bilingua,7701250014,Владивосток,Приморский край,"г Владивосток, ул Примерная, 15",bilingua.ru,info@bilingua.ru,Образование,85.41
ООО Обувь оптом Владивосток,7900025022,Владивосток,Россия,"г Владивосток, ул Промышленная, 23",https://shoes-владивосток.ru,shoes@владивосток-shoe.ru,Обувь оптом,46.42
